Allele,Marker,Frequency,Population,Sample_Size
Hobs,...19,0.7966101694915254,"1036 revised Hispanic,",=236
Hobs,...20,0.7033898305084746,"1036 revised Hispanic,",=236
Hobs,...21,0.6822033898305084,"1036 revised Hispanic,",=236
Hobs,...22,0.8813559322033898,"1036 revised Hispanic,",=236
Hobs,...23,0.6610169491525424,"1036 revised Hispanic,",=236
Hobs,...24,0.7542372881355932,"1036 revised Hispanic,",=236
Hobs,...25,0.8680851063829788,"1036 revised Hispanic,",=236
Hobs,...26,0.8983050847457628,"1036 revised Hispanic,",=236
Hobs,...27,0.9279661016949152,"1036 revised Hispanic,",=236
Hobs,...28,0.7584745762711864,"1036 revised Hispanic,",=236
Hobs,...29,0.673728813559322,"1036 revised Hispanic,",=236
Hobs,...30,0.788135593220339,"1036 revised Hispanic,",=236
PI,...2,0.1255386383223212,"1036 revised Hispanic,",=236
PI,...3,0.1049626544096524,"1036 revised Hispanic,",=236
PI,...4,0.03318012065498422,"1036 revised Hispanic,",=236
PI,...5,0.05260700948003449,"1036 revised Hispanic,",=236
PI,...6,0.07623527721918989,"1036 revised Hispanic,",=236
PI,...7,0.030307382935937963,"1036 revised Hispanic,",=236
PI,...8,0.0677247917265154,"1036 revised Hispanic,",=236
PI,...9,0.0284401034185579,"1036 revised Hispanic,",=236
PI,...10,0.046789715598965824,"1036 revised Hispanic,",=236
PI,...11,0.17426745188164317,"1036 revised Hispanic,",=236
PI,...12,0.029696926170640636,"1036 revised Hispanic,",=236
PI,...13,0.10984630853203105,"1036 revised Hispanic,",=236
PI,...14,0.09041941970698077,"1036 revised Hispanic,",=236
PI,...15,0.14571962079862102,"1036 revised Hispanic,",=236
PI,...16,0.03303648376903193,"1036 revised Hispanic,",=236
PI,...17,0.08672076989370872,"1036 revised Hispanic,",=236
PI,...18,0.06212295317437518,"1036 revised Hispanic,",=236
PI,...19,0.07813846595805803,"1036 revised Hispanic,",=236
PI,...20,0.13706549841999427,"1036 revised Hispanic,",=236
PI,...21,0.14162596954898016,"1036 revised Hispanic,",=236
